smiles_cano,MOLECULEID,Absorbance maximum wavelength,E_AgAgCl_V
COc1ccc(C2=C3C=C(c4ccc(C=O)cc4)C(/C=C/c4ccc(C(F)(F)F)cc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(C=O)cc2)c3/C=C/c2ccc(C(F)(F)F)cc2)cc1,M100039985,640,-1.078841184
O=Cc1ccc(C2=CC3=C(c4ccc(C(F)(F)F)cc4)c4cc(-c5ccc(C=O)cc5)c(/C=C/c5ccc(C(F)(F)F)cc5)n4[B-](F)(F)[N+]3=C2/C=C/c2ccc(C(F)(F)F)cc2)cc1,M100039987,661,-1.015407338
Cc1ccccc1C1=C2C=C(c3ccc(C=O)cc3)C(/C=C/c3ccc(C(F)(F)F)cc3)=[N+]2[B-](F)(F)n2c1cc(-c1ccc(C=O)cc1)c2/C=C/c1ccc(C(F)(F)F)cc1,M100039989,646,-1.088311535
CC1=C(Br)C(C=Cc2ccc(O)c(O)c2)=[N+]2C1=C(c1ccc([N+](=O)[O-])cc1)c1c(C)c(Br)c(C=Cc3ccc(O)c(O)c3)n1[B-]2(F)F,M100040245,700,-1.295238355
CCCCCCC1(CCCCCC)c2cc(C#Cc3ccc(C4=[N+]5C(=Nc6c(-c7ccccc7)cc(-c7ccc(C#Cc8ccc9c(c8)C(CCCCCC)(CCCCCC)c8cc([N+](=O)[O-])ccc8-9)cc7)n6[B-]5(F)F)C(c5ccccc5)=C4)cc3)ccc2-c2ccc([N+](=O)[O-])cc21,M100479012,694,-0.776061703
[N-]=[N+]=NCCOc1ccc(/C=C/c2ccc3n2[B-](F)(F)[n+]2c4n(c5ccccc52)[B-](F)(F)[N+]2=CC=CC2=C34)cc1,M100479042,694,-0.656058957
CCC1(CC)c2ccc(/C=C/C3=C(C#N)C(=C(C#N)C#N)OC3(C)C)cc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,M100479509,580,-1.170669513
COc1ccc(C2=C(c3ccc(OC)cc3)c3cc([N+](=O)[O-])cc4c(-c5ccc(OC)cc5)c5c6ccc(OC)cc6c(-c6ccc(OC)cc6)c(-c6ccc(OC)cc6)[n+]5c(c34)O2)cc1,M100480149,587,-1.030809256
N#CC1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,M100480310,690,-1.005686341
CC1=CC(C)=[N+]2C1=C(c1ccc(OCCN=[N+]=[N-])cc1)c1c(C)cc(C=Cc3ccc(N(C)C)cc3)n1[B-]2(F)F,M100532471,608,-1.742952181
CC1=C(C)C(C)=[N+]2C1=C(C#N)c1c(C)c(C)c(C)n1[B-]2(F)F,M97692510,588,-1.131021192
Cc1cc(/C=C/c2ccc(C=O)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M99948989,580,-1.253407663
Cc1cc(/C=C/c2ccc(N3CCCC3)c([N+](=O)[O-])c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M99949116,584,-1.448116822
Cc1cc(/C=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M99949162,600,-1.505335565
